ID	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
Acidithiobacillus	0	0	0	0.085778	0	0.5153	0	0.094049	0.068479	0.926555	0.090708	1.004037	0	0.014374	0
Actimicrobium	0	0	0	0	0.024666	0	0.123575	0.887173	0.870592	0.38568	0.469192	0	1.57313	3.71879	8.631
Aequorivita	0	0	0	0.03593	0	0	0.285166	0.157749	0.401684	0	0	0.228325	0	0	0
Aestuariivita	29.244546	112.33779	181.36957	515.305	1121.2644	1469.6228	2681.7302	682.4776	1649.8341	630.8389	604.3865	95.25737	2.707588	0.290054	1.60855
Alcanivorax	0	0.019742	0.05155	0	0.005803	0	0.576923	0	0.237866	0.03993	0.105385	0.113648	0	0	0.011275
Algoriphagus	1652.5221	480.56843	909.5357	2196.4239	2128.7506	1124.8409	966.1325	1711.192	1766.7375	438.42237	535.85562	896.0427	63.128858	77.58231	58.313157
Aliiroseovarius	0	0	0	0	0	0	0	0	0	1.50254	0.223726	0	0	0.3837	0.139366
Alkalicaulis	0	0	0	0	0	0	0	0	0	11.09384	2.878889	4.5858	0.656048	0.581288	2.235767
Allomuricauda	84.149713	11.09189	16.086985	46.085305	14.603102	7.633375	1.841133	3.903644	2.084243	11.924443	3.401638	1.941809	38.743493	16.086233	68.936049
Alteromonas/Salinimonasgroup	0	0	0	0	0	0	0	0	0	0.242889	0.110215	0	0.158818	0.111918	0.088224
Aminobacter	0	0	0	0	0	0	0.093047	0.676598	1.65368	0	0.287536	0.784005	0.634521	3.05859	6.27812
Anianabacter	0	0	0	0	0	0	0	0	0	0.392995	0.272698	1.59753	1.27865	5.56802	8.09705
Aquamicrobium	0	0	0	0	0	0	0	0.361448	0.800978	0	0.685671	0	0.787718	2.5927	5.9852
Aquibium	0.046626	0	0	0	0.037243	0	0	0	0	39.069009	0.071772	0.124112	192.037838	10.232301	0.451918
Aquicoccus	0	0	0	0	0	0	0.04118	0	0	1.95115	0.721636	22.166	0.60694	1.2201	1.50692
Archangiaceae	0	0	0	0	0	0	0.346636	1.3581	2.10982	0	0	0	0.517146	0.186134	0
Arenimonas	0	0.02598	0	0.019551	0	0	0.759187	0.171592	0.187326	0.105309	0.165586	0	0	0	0
Balneola	0	0	0	0	0	0	0.107692	0	0	0.165125	0.127703	9.68622	0	0.123257	0.208869
Boseongicola	0	0	0	0	0	0	0	0	0.430397	15.9542	35.6009	10.0121	1.71438	0.101193	0.772932
Bremerella	0	0	0	0	0.083927	0	0.328382	0.332703	0.257485	189.02579	202.17375	102.4719	143.4402	244.15411	288.61552
Caballeronia	0	0	0	0	0	0	0	0	0	0.482998	0.373958	0	0.03704	0.020027	0
Carboxylicivirga	0.025443	0	0	0.012985	0.010151	0	0.525508	0.114197	0.622393	0	0	0.16527	0	0	0
Caulobacter	0	0	0	0	0	0	0	0	0	3.88286	1.09242	2.2454	0.156627	0.193389	0.790089
Celeribacter	0	0	0	0	0	0	0	0	0	0.513732	0.052398	0	0	0.153572	0.02882
Cesiribacter	0.052368	0	0	0.05346	0	0	0.70563	0.058763	0.427058	0	0	0.204105	0	0	0
Chelativorans	0	0	0	0	0	0	0	0	0	6.71681	0	0	13.5666	0.213304	0
