ID	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
A01A	0	0	0	0.590047	0.443465	0.611981	0.490613	0	0	0	0.493894	0.29813	0	0	0
A08	12.9883	2.29171	2.727206	8.81079	2.50969	1.18614	0	0	0	14.892734	2.559987	9.435208	35.493112	16.941864	23.69683
A24A	0	0	0	0.054218	0.019941	0	0	0	0	0.452505	0	0.136393	0.034986	0	0.799866
A26	0	0	0	0	0	0	0	0	0.114952	1.47834	1.45602	2.6428	3.064126	8.330699	5.71497
A28B	0	0	0	0	0	0	0	0	0	0	1.76183	4.04625	0	0.16186	0.365095
A32	0	0	0	0	0.037243	0	1.257239	0.983608	3.583337	42.533181	0.160304	7.786983	20.158466	2.069234	3.225291
A39	0.101659	0.01737	0.049612	0.105193	0.020115	0.011162	0.039723	0.016665	0.127264	13.752531	22.925107	12.205867	4.313856	4.421155	8.842158
C01A	0.40579	0.082863	0.262011	0.581668	0.529639	0.502284	16.106	8.74821	19.0398	0.168032	4.89347	0.369335	0.822382	0.222632	11.0833
C01B	0	0	0	0	0.018553	0	0.768482	0.105765	0.308229	0	0	0.306209	0	0	0
C110	0	0.009087	0	0	0	0	0	0	0	0	11.366	4.15405	0.025232	0.474107	1.1312
C13	0	0	0	0.58552	1.259155	2.61271	0	0	0	0	1.72298	4.748209	0	0.17565	0.099125
C14A	0.178652	0.020444	0.034719	0	0.01165	0.033833	0	0	0	0	0	0	0	0.020721	0.023406
C14B	57.314548	5.3709	7.655238	75.341319	45.726918	48.372475	22.421171	167.525911	56.505406	122.303732	132.80733	97.434645	90.153475	43.471612	50.413526
C19	0	0	0	0.304846	0.502094	0.67703	0.067855	0	0	0	0.265994	0.577808	0	0	0
