ID	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
Abyssibacter	0	0	0.014848	0	0	0	0.513468	0.595818	0.619456	0.104456	0.109522	0.049281	0	0	0
Abyssibius	0	0	0	0	0	0	0	0	0	15.1457	0.036726	3.70937	2.35833	0.158378	1.49391
Achromobacter	0	0	0.007092	0	0	0	0	0	0	1.99224	0.705937	18.536	0.525231	0.667898	1.19411
Acidithiobacillus	0	0	0	4.983657	0	26.052438	2.157667	12.943959	8.223657	29.458583	3.724011	41.252203	0.683245	0.974005	0.127018
Actibacterium	0	0	0.028304	0	0	0	0	0	0	40.9714	34.231673	40.50413	124.45034	167.383154	132.00513
Actinoallomurus	0	0	0	0	0	0	0	0	0	0	0	0.718583	0.025778	0	0.782181
Actinomarinicola	0	0	0	0	0	0	0	0	0	0	0	0.57466	0.099263	0	0.684902
Actinomyces	0	0	0	0	0	0	0	0	0	0	0	1.63207	0.04785	0	0.512409
Acuticoccus	3.13476	0.280606	1.23996	5.7433	2.8256	0.465172	7.36933	42.1304	21.4046	20.733768	22.720139	5.840674	39.885498	23.067585	20.55953
Aegicerativicinus	10.4248	1.29678	2.29017	7.7026	1.97724	1.05953	0.283691	0.301482	0.219589	1.79603	0.290648	0.349129	2.28907	0.954233	0.401267
Aequorivita	0.758938	0	0	0.545669	0	0	0	1.05891	0	0.228931	0	0.200676	0	0	0
Aestuariivita	304.128589	1137.61391	1794.35498	5131.0337	11235.3281	14405.6079	27083.4406	7343.1892	17195.714	6213.8128	6140.5112	1097.2696	32.281113	8.225352	14.511054
Aestuariivivens	0	0	0	0	0	0	0.147601	0	0	0	0.221351	16.0235	0	0.174444	0.128401
Afifella	0	0	0	0	0	0	0	0	0	1.25932	0	1.65243	0.615861	0.663737	1.0556
Agaribacillus	0	0	0	0	0	0	0.04853	0	0	0.458111	0.233497	21.0718	0	0.249995	0.149384
Ahrensia	3.27642	0.301226	1.812094	8.02395	4.69523	1.218345	12.03319	76.1314	33.016	37.32241	35.886172	8.161791	66.937667	41.469163	35.840689
Albidovulum	0	0	0	0	0	0	0	0	0	0.325541	0.331003	2.89734	1.72816	7.76084	12.4719
Albimonas	0	0	0	0	0	0	0	0	0	1.27985	0	0.106763	0	0.029008	0.228125
Algoriphagus	9414.6533	2692.56837	5121.5485	12178.7163	11950.58217	6211.76802	5323.863874	9394.049378	9821.704683	2544.984367	3083.603613	5197.94448	374.92952	418.916429	352.455033
Aliihoeflea	0	0	0	0	0	0	0	0	0	0.577936	0.042568	1.84499	0.588971	0.410856	0.533775
Aliiroseovarius	2.700465	17.5994	35.2143	72.9035	194.588	162.104	313.828	59.3122	255.945	120.36446	75.112387	23.16447	0.927493	0.905055	0.094945
Alkalicaulis	0	0	0	0	0	0	0	0	0	20.17565	4.581565	6.90109	1.199171	0.950576	3.838169
Alloalcanivorax	0	0	0	0	0	0	0	0	0	5.01996	2.84347	52.0837	1.59741	2.91959	3.06691
Allomuricauda	241.942602	31.020964	47.07052	145.302001	39.566447	22.940828	3.833883	6.512343	4.305743	28.936002	11.919599	23.950425	219.019448	90.434903	464.396291
Allosediminivita	0	0	0	0.073918	0	0	0	0	0	0.418808	0.404341	4.25295	4.00981	14.0168	24.3584
Altererythrobacter	1.251142	2.85008	4.22133	12.356091	28.259	36.188101	73.174017	19.958751	45.033681	13.4648	15.554951	2.90282	0.535755	0.117453	0
Alterinioella	0	0	0	0	0	0	0	0	0	0.391929	0.49719	2.93453	2.09038	8.60806	13.38743
Alteromonas/Salinimonas group	0	0	0	0	0	0	0	0	0	0.455619	0.046764	10.4819	0	0.158792	0.102365
Amycolatopsis	0	0	0	0	0	0	0	0	0	0	0	0.539248	0.108986	0	1.01014
Ancylobacter	0	0	0	0	0	0	0	0	0	3.28183	2.22482	51.6703	1.868381	3.49515	3.84974
Anditalea	0.021207	0.007154	0.012536	0.356854	0.22477	0.02363	0	0	0	1.01118	0.491022	2.1209	0.647522	0.673575	2.70327
Anianabacter	0	0	0	0	0	0	0	0	0	0.260571	0.160152	1.56323	1.2038	5.11005	7.84495
Antarcticimicrobium	2.46296	0.177544	0.986871	4.73467	2.50645	0.356339	5.08716	27.3157	16.2196	15.428538	17.476184	8.49684	34.835378	37.02561	41.31212
Aporhodopirellula	0	0	0.001962	0	0	0	0.026397	0	0	0.25752	0.062166	8.11427	0.008101	0.078075	0.101927
Aquamicrobium	1.396252	0.02164	0.037266	0.022295	0.141295	0.110898	5.96729	29.70455	24.267515	6.113476	7.512408	7.332404	30.652614	108.363925	207.42
Aquibium	0.099023	0	0	0.032803	1.20723	0	0.268248	0	0	349.883366	2.575124	1.222442	1540.510224	81.900692	5.90431
Aquicoccus	0.07136	0	0	0	0	0	0.04118	0	0	9.37175	2.944186	68.9285	2.151222	4.439804	4.732705
Aquisalinus	0	0	0	0.021571	0	0	0.3523	0.576102	0.446112	14.403443	2.955484	6.78993	1.41512	1.048159	3.331104
Arcticibacterium	0	0	0	0	0	0	0	0	0	0.671204	0	11.2004	0	0.112281	0.49638
Arenibacter	0	0	0	0	0	0	0.119397	0	0	0.522874	0.169768	26.3411	0.009397	0.290237	0.374526
Arenibacterium	3.33917	3.26137	5.89901	25.0363	16.6482	12.55	11.6104	2.61561	4.75944	0.695882	0.392595	0.15144	0	0.039888	0.060371
Arthrospiribacter	29.1228	7.88673	14.6593	27.7134	35.2932	12.0088	10.5443	24.1362	26.0977	5.30808	6.86776	13.6452	0.927067	1.17903	0.81667
Aurantiacibacter	0	0	0	0	0	0	0	0	0	0	2.89297	6.69692	0	0.597524	0.110445
Aurantimonas	0	0	0	0	0	0	0	0	0	1.86558	0	0	9.36612	0.281561	0
Aureibacter	0	0.025126	0.019509	0.493271	0.361088	0.055335	0	0	0	1.89549	0.448184	1.93194	0.518947	0.529052	2.69684
Aureimonas	7.96733	0.750132	2.855082	15.77488	7.9592	1.991417	19.83242	120.8113	62.2641	45.6002	61.7496	11.45624	118.1541	71.628	60.4128
Azospirillum	0	0	0	0	0	0	0	0	0	5.15746	0	0.269912	0.973846	0	0
Bacillus	0	0.043476	0.036805	0.325115	0.308519	0.215889	0	0	0	1.15203	0.728631	2.22199	0.836677	0.463205	2.36492
Bauldia	0	0	0	0	0	0	0	0	0	0	0.726275	1.68985	1.59438	7.16685	11.7218
Billgrantia	4.3558	0.374623	1.47899	6.82092	4.28735	1.27672	9.07242	60.9126	25.6516	23.9908	29.9932	6.2549	56.3711	34.8024	28.6196
Bosea	0	0	0	0	0	0	0	0	0	0.864958	0	0	5.6705	0.11966	0
Boseongicola	33.90166	8.92586	11.64345	69.2244	74.6357	85.526	112.18084	123.6737	88.5731	79.8505	31.14906	21.16169	2.690756	0.683407	1.402132
Bradyrhizobium	0	0	0	0	0	0	0	0	0	2.14635	0.149679	0.1805	0.157427	0.26726	0.109522
Bremerella	0	0.02266	0.401796	0	0.539297	0.121583	3.598578	3.849846	0.487485	1895.45437	2055.86724	1032.940725	1423.52302	2381.16042	2858.42167
Breoghania	0	0	0	0	0	0	0	0	0	0.285481	0.292369	1.14557	1.33773	4.90487	7.61332
Brevirhabdus	0	0	0	0	0	0	0	0	0	0.074598	0	0	0.445913	0.074209	0
Brevundimonas	0	0	0	0	0	0	0	0	0	0	0.097329	0.889531	0	0.150937	0
Brucella/Ochrobactrum group	0	0	0	0	0	0	0	0	0	0.321733	0.477309	5.21466	3.36191	12.827	19.1069
Brumimicrobium	0.09143	0.015434	0.009002	0.291479	0.251163	0.101959	0	0	0	1.27811	0.26457	1.69234	0.841493	0.487174	2.62542
Caldicellulosiruptor	0.094476	0	0.064544	0.363238	0.325717	0.080005	0	0	0	1.37548	0.647657	1.59753	0.902574	0.455861	3.04331
Caldithrix	0.11052	0.012517	0.014436	0.471131	0.401557	0.144815	0	0	0	1.82594	0.399187	2.44241	0.965206	0.743182	2.96113
Candidatus Cloacimonas	32.9447	7.1828	13.2756	23.8949	36.0612	11.3612	12.6376	20.4587	24.4279	10.0789	8.70602	18.9411	1.29012	1.02235	0.9171
Candidatus Methylomirabilis	0	0	0	0	0	0	0	0	0	10.6548	0.102689	3.32181	1.74509	0.057903	1.27378
Candidatus Microthrix	0	0	0	0	0	0	0.046926	0.23207	0	0.215479	0.074501	0.268769	0.181589	0.03572	0.121275
