ID	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
Abyssibacter	0	0.02985	0.008558	0	0	0	0.515413	0.09835	0.143253	0.060574	0	0	0	0	0
Achromobacter	0	0	0.020491	0.134941	0.010329	0.089312	0.047804	0.11816	0.086145	0.292743	0.037927	0.273694	0	0.0182	0
Acidimicrobium	0	0	0	0	0	0	0	0	0	0	0	0.624501	0.124741	0	1.00378
Acidithiobacillus	0	0	0	1.446917	0	16.159694	0.950905	5.211851	4.697423	18.923626	2.628228	19.970394	0.472819	0.647525	0
Acinetobacter	0	0	0.320788	0	0.315337	0	0	0	0	0	0	2.15036	0	0	0
Actimicrobium	0	0	0	0	0.024666	0	0.123575	0.887173	0.870592	0.38568	0.469192	0	1.57313	3.71879	8.631
Actinomadura	0	0	0	0	0	0	0.790076	0	0	0	0.559869	1.01574	0.63719	0	0
Actinomarinicola	0	0	0	0	0	0	0	0	0	0	0	0.252502	0.032177	0	1.12577
Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0.703807	0.105568	0	0.972499
Actinotalea	0	0	0	0	0	0	0	0	0	0.284097	0	0.488876	0.066942	0.071556	0
Aequorivita	13.801776	0.681458	0	2.460439	0	2.732349	2.305806	2.816064	7.373619	9.455293	0.487777	11.629859	0.332238	0.419099	0.577809
Aestuariicella	0	0	0	0	0	0	0	0	0	0.254288	0.04468	0	0.1262	0.147281	0.023927
Aestuariivita	131.243855	477.8466	777.43645	2256.2855	4915.2795	6264.8627	11762.6044	3177.6092	7444.6998	2701.5479	2692.4676	461.221365	11.316093	2.453291	6.034467
Afifella	0	0	0	0	0	0	0	0	0	0.640873	0.232978	0	0.067806	0.073452	0.013906
Ahrensia	2.86347	0.297619	1.54098	5.88861	3.49763	1.29648	9.38581	59.7216	25.457009	29.297653	25.168727	9.181721	56.723899	32.44363	28.144966
Alcanivorax	0	0.019742	0.05155	0	0.005803	0	0.576923	0	0.237866	0.03993	0.105385	0.113648	0	0	0.011275
Algicola	0	0	0	0	0	0	0.267718	0.637997	1.17537	0	0	0.554732	0	0	0
Algihabitans	0	0	0	0	0	0	0	0	0	35.1195	0.270125	10.89506	5.18344	0.119059	3.16499
Algiphilus	0	0	0	0	0	0	0	0	1.32324	4.065792	0.921561	0	0	0	0.288201
Algoriphagus	3438.304	984.20285	1864.3355	4462.0417	4351.5223	2303.7011	1986.53429	3490.5184	3650.18334	913.513775	1114.423306	1876.9029	129.449106	157.15023	120.468627
Aliamphritea	0	0	0	0.481995	0.310817	0.97647	0.469438	0	0	0	0.487741	0.221111	0	0	0
Aliiroseovarius	0	0	0	0	0	0	0	0	0	1.50254	0.223726	0	0	0.3837	0.139366
Alkalicaulis	0	0	0	0	0	0	0	0	0	18.32978	4.776556	7.98561	1.452185	1.044147	3.725256
Alkalisalibacterium	0	0	0.00616	0	0	0.017572	0.480298	0.070437	0	0	0.13608	0.081556	0	0	0
Allomuricauda	268.736406	31.539693	48.131948	141.109402	41.307269	25.306559	5.625318	18.903904	12.050865	38.815937	7.392574	6.981974	128.509062	48.593281	177.327494
Allosediminivita	0	0	0	0.073918	0	0	0	0	0	0.495477	0.404341	4.25295	4.715043	14.074009	24.3584
Alloyangia	0	0	0	0	0	0	0	0	0	0	0	0	0	0.931706	0
Alteromonas/Salinimonasgroup	0	0	0	0	0	0	0	0	0	0.242889	0.110215	0	0.158818	0.111918	0.088224
Aminobacter	0	0	0	0	0	0	0.093047	0.676598	1.65368	0	0.287536	0.784005	0.634521	3.05859	6.27812
Amnibacterium	0	0	0	0	0	0	0	0	0	0.181721	0.063219	0.056946	0.097327	0.015052	0.085331
Amphibacillus	0	0.019452	0.03311	0.203985	0.455787	0.160931	0	0	0.093	1.18771	0.572594	3.47024	0.947118	0.866689	2.71633
Ancylobacter	0	0	0	0.143204	0	0	0	0	0	0	0.189481	0	0	0	1.0468
Anianabacter	0	0	0	0	0	0	0	0	0	0.392995	0.272698	1.59753	1.27865	5.56802	8.09705
Aquamicrobium	2.595824	0	0.027198	0.031666	0.053551	0	4.290305	13.826374	13.874444	7.375363	6.048058	7.39741	18.884621	69.733546	144.749028
Aquibium	0.046626	0	0	0	0.04667	0	0	0	0	198.706177	0.795935	3.394746	916.731008	55.865867	16.564645
Aquicoccus	0	0	0	0	0	0	0.04118	0	0	1.95115	0.721636	22.166	0.60694	1.2201	1.50692
Aquiflexum	0.034792	0	0.006822	0.587072	0.241613	0.078069	0	0	0	1.76986	0.603318	1.62801	0.756485	0.546362	2.699
Aquimarina	0	0	0	0.429612	0.288561	0	0	0	0	2.5188	18.340262	9.04164	0.200986	1.163332	3.99995
Archangiaceae	0	0	0	0	0	0	0.346636	1.3581	2.10982	0	0	0	0.517146	0.186134	0
Arenibacter	0	0	0	0	0.043236	0	1.17266	0.539996	0.403832	0	0	0.627573	0	0	0
Arenimonas	0	0.02598	0	0.019551	0	0	0.759187	0.171592	0.187326	0.105309	0.165586	0	0	0	0
Aurantiacibacter	0.150097	0.053734	0	0	0	0.178887	0.713616	0.677892	2.75047	0	0.107287	0	0.942063	0.336843	0
Aurantimonas	0	0	0	0	0	0	0	0	0	6.8723	0.921707	21.8094	10.63196	1.631131	0.922644
Aureibacter	0	0.025126	0.019509	0.493271	0.361088	0.055335	0	0	0	1.89549	0.448184	1.93194	0.518947	0.529052	2.69684
Aureispira	0.161994	0	0	0.459934	0.422705	0	0.52994	0	1.39649	1.72449	0.757195	2.42779	0.79665	0.659184	2.99519
Azotobacter	0	0	0	0.906393	0	0	0	0	0	0	0.567904	0	0	0	0
Bacillus	0	0	0.830654	0	1.05621	0	0	0	0	0	0	0	0	0	0
Balneola	0	0	0.237411	0	0	0	0.107692	0	0	0.165125	0.127703	9.68622	1.06283	0.123257	0.208869
Blastococcus	0	0	0	0	0	0	0.882511	0	0	0	0	0	0	0.181275	0
Boseongicola	1.38146	5.49212	7.36297	17.2234	46.6558	48.8463	99.9479	25.8417	67.278297	46.8302	61.0434	16.99051	1.7997	0.101193	0.841795
