ID	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
A01A	0	0	1.059297	0	2.900074	0.049376	2.799435	0	0	3.630498	0.063005	1.449917	0	0	4.961622
A08	229.652124	403.157608	232.566076	300.382944	278.980916	186.091055	241.689608	323.744246	283.507413	237.879103	183.707152	309.73609	241.973604	265.373702	239.087407
A11	0	0	0	0	0	0	0	7.86023	0	0	0	0	0	0	0
A22A	0	0	0	0	0	0	0.753612	0	0	0.528105	0	5.43783	0	0	0.649628
A24	0	4.48457	0	2.94528	0	0	5.00955	0	5.96892	0	0	2.62437	0	7.24017	0
A24A	87.194587	217.570703	31.945229	260.533703	17.774737	120.32948	200.090866	87.404783	221.922736	11.086376	97.184859	121.451954	65.112856	208.584065	12.089114
A24B	33.03944	133.085021	147.963663	28.775324	103.337112	13.03391	143.53234	110.877441	46.336657	98.850794	19.92825	73.26453	104.225569	56.025627	124.3186
A26	0	1.47834	0	3.064126	0	0	1.45602	0	8.330699	0	0	2.6428	0.114952	5.71497	0
A28A	0	0	0.305139	0	0.871519	0	0.801788	5.60033	0	1.193405	0.047309	0.88087	0	0	0.943037
A28B	25.263	1.22075	0	12.72606	15.1121	3.5994	1.76183	0	6.37749	5.50304	5.6368	4.04625	0	17.867415	4.16129
A31	0.870691	15.913287	2.085011	14.58343	8.158412	0.046983	2.476734	6.04595	18.873054	1.808046	0.149354	21.666691	16.6502	12.18899	1.583772
A32	33.28129	168.006445	221.382362	147.508219	124.433583	15.50381	109.142093	181.08277	111.499663	112.144188	23.909298	64.627148	219.236445	99.212246	128.676049
A39	0.937821	157.720978	2.393697	39.720786	4.18789	0.219352	253.098916	2.305369	36.258493	1.0404	0.68882	119.40876	9.570259	63.513687	0.514812
C01	0	0.878623	0	0.440532	0	0	0	0	0.189385	0	0	0.673282	0	0	0
C01A	1.42299	22.011632	110.440094	0.913076	39.929445	3.906359	41.403282	33.378526	0.242249	69.567203	5.857796	15.618073	76.362801	11.4059	98.200337
C01B	0	0.990611	0.768482	0.091357	0	0	1.40264	0.105765	0.172704	0.018553	0	6.536509	2.400899	0	2.566416
C02A	0	0	0	0	1.427399	0	0.768441	0	0	2.016713	0	2.034676	0	0	1.99748
C108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73144
C110	0	0.375687	0.374558	0.025232	0.134941	0.009087	11.535159	0.11816	0.502601	0.010329	0.032375	4.506381	0.382438	1.166324	0.140115
C115	0	0	0	0	0.259392	0.089592	0	0	0	0.526475	0	0.955812	0	0.104955	1.65515
C12	0	0	0.166377	0	0.638755	0	0.247279	0	0	0.709539	0	0	0	0	2.11843
C13	0.244266	0.427414	0.222897	0	0.58552	0	1.942997	0.411787	0.17565	1.294964	0.011861	4.748209	0.300521	0.099125	2.786318
C14	0	0	0	0	0	0	0	0	0	0.213087	0.218976	0	0	0	0
C14A	0.178652	0.398856	0	0	0	0.020444	2.619477	0	0.309987	0.01165	0.034719	0	0	0.354662	0.033833
C14B	57.567927	159.843079	22.975769	93.454265	75.420672	5.3709	160.963416	167.664366	45.651812	45.738568	7.673405	116.74146	57.387175	52.616724	48.372475
C15	0	13.919981	0	44.302662	0.075433	0	16.507239	0	49.568454	0	0	9.759802	0	26.844305	0.171258
C19	0	0.26213	2.58868	0	11.698066	0.234396	6.624538	0.548156	0	12.610342	0.025079	7.915759	0	0	26.376363
C25	62.46985	25.563917	34.550053	7.213096	78.127121	17.777623	52.339202	58.647439	11.307953	75.108165	32.86606	73.160326	63.180214	17.300879	40.715649
