genus	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
Marinobacter	70.55913717	87.83147535	81.57372736	8.211504166	9.549920729	12.94352925	0.141630163	0.253190196	0.284724192	0.111792026	0.055506777	0.08184381	0.134735123	0.080407943	0.090594463
Dinoroseobacter	4.10229899	3.012261677	6.454812266	47.48365256	36.37795753	32.73303908	28.3917895	8.356289244	10.84383739	0.981737248	1.050591904	0.448625327	0.09798918	0.196439658	0.296213355
Roseovarius	0.732879212	0.162003989	0.271227609	2.152119374	3.074918961	3.475511832	4.624224828	4.287016407	4.612329267	10.45865219	1.748968079	13.36883266	11.09115035	16.45105803	10.93342834
Glycocaulis	0.002027328	0.001012525	0.001012043	0.02619621	0.023225989	0.016160474	0.056652065	0.031395584	0.255339845	10.69138287	30.64983298	7.373015793	1.160559355	0.858024	1.045399023
Sulfitobacter	1.450553461	0.272369207	0.443274972	3.616084473	5.130923889	5.811710283	7.325314368	8.019039903	7.329874762	3.909672043	2.220271075	1.299396781	0.603245892	0.671762562	0.744096091
Mesorhizobium	0.215910473	0.055688871	0.095132072	0.529969471	0.56954164	0.481784116	1.011644023	3.316791574	2.240303165	2.575281767	1.798419571	1.49440734	6.539757068	4.043807062	4.626425081
Phaeobacter	0.767343794	0.169091664	0.277299868	2.101742048	3.021398205	3.397739554	4.403686431	4.347782054	4.370161715	2.190107422	1.293812508	0.716385939	0.38889456	0.424431801	0.428542345
Stappia	0.025341605	0.005062625	0.00910839	0.068513164	0.076746746	0.080802368	0.118362351	0.219769091	0.173266324	2.494994766	8.641900552	7.055744728	1.442278248	2.452951175	1.331433225
Paracoccus	0.521023395	0.114415317	0.178119624	1.476055657	1.904531087	2.127122325	2.835638196	3.155762609	3.269768573	1.880138622	1.119218465	1.110448726	0.871695417	1.246832029	1.517711726
Pseudomonas	1.825609212	2.154653058	2.089869446	0.58840717	0.715966353	0.827214237	0.790093982	1.060360543	1.046690715	1.937050926	0.932513851	1.469146905	2.551801572	2.046840171	2.016490228
Streptomyces	0.089202449	0.066826646	0.073879162	0.184381014	0.224181284	0.253517428	0.534148044	0.523597326	0.691038787	1.442117138	1.156559387	1.735897099	4.308461774	4.786817169	4.662052117
Algoriphagus	1.448526132	0.320970404	0.681105151	2.489647459	2.952730064	1.484743503	1.147204322	2.395179259	2.657763547	0.583351118	0.728652598	1.240792571	0.108196387	0.120103004	0.106881107
Tistrella	0.006081985	0.00202505	0.004048173	0.018135837	0.034334071	0.035351036	0.059686997	0.047599757	0.056742188	1.445166011	0.54800327	13.48199941	0.550168419	0.900772527	1.116653094
Ruegeria	0.371001095	0.099227443	0.166987147	1.172784153	1.97521888	2.236205521	3.264575261	2.392140976	3.003282941	1.342520605	0.930495423	0.39709404	0.177605389	0.181172327	0.211726384
Rhizobium	0.199691846	0.062776546	0.089059812	0.426192179	0.406959718	0.350480269	0.627219294	2.248328945	1.406395655	1.561023202	1.138393533	0.958886116	2.553843013	1.86872131	1.891286645
Roseobacter	0.317276893	0.088089669	0.150794454	1.042810652	1.723772305	1.896835577	2.69603132	2.000202552	2.523000851	1.140278667	0.775076448	0.303125221	0.127590079	0.112978249	0.129275244
Muricauda	3.354214816	0.351346152	0.5677563	2.693171857	0.935098508	0.54743604	0.124432215	0.261292283	0.219875978	0.604693233	0.151382119	0.148531358	1.841380014	0.79390121	2.185464169
Nitratireductor	0.03142359	0.0040501	0.00910839	0.065490524	0.069677967	0.062621835	0.139606875	0.491188981	0.355651927	1.16975111	0.864896505	1.731855429	2.424211493	3.390365296	3.00997557
Leisingera	0.242265742	0.074926845	0.129541544	0.870520196	1.496561544	1.673619037	2.497749092	1.670042536	2.332509221	1.018323729	0.722597313	0.320302317	0.182708993	0.206617879	0.228013029
Roseitalea	0.098325427	0.010125249	0.034409473	0.255916817	0.19287669	0.066661953	0.403645965	2.528863682	1.390183602	0.992916451	1.14747646	0.276854369	2.838624069	1.642764812	1.455618893
Rhodobacter	0.249361392	0.052651297	0.087035725	0.775810823	0.961353974	1.076691547	1.463848901	1.57180474	1.81271025	0.90348283	0.529837416	0.526427467	0.495049505	0.763366548	0.979234528
Marivirga	0.01216397	0.003037575	0.008096347	0.02317357	0.026255466	0.012120355	0.009104796	0.019242455	0.02127832	0.006097747	7.265332486	2.943345896	0.009186486	0.416289224	0.711522801
Thalassococcus	0.138871994	0.063789071	0.114360895	0.680093903	1.319842063	1.46656297	2.31362988	1.219363986	1.992056094	0.803886297	0.707459102	0.265739777	0.138818006	0.103817851	0.112988599
